target,period
TIC1102093577,0.2678155
TIC110428269,0.6496575
TIC113061684,0.6932295
TIC11437325,0.5733566
TIC114500611,0.4887741
TIC11480757,0.404167
TIC11487334,0.3840273
TIC115046240,0.3458225
TIC115105140,0.410686
TIC11546041,0.4068856
TIC115971584,0.3469337
TIC11598102,0.4229058
TIC116484192,0.2764742
TIC116503129,0.1712539
TIC116520408,0.2908731
TIC117378874,0.3745944
TIC117515123,0.2595402
TIC117549840,0.6660209
TIC117925262,0.6012889
TIC117978580,0.5272631
TIC118271395,0.3997855
TIC118271404,0.399752
TIC118826280,0.246525
TIC119159743,0.4119512
TIC120016,0.3263708
TIC120341889,0.5010343
TIC120393264,0.2093105
TIC120490566,0.6541021
TIC120499528,0.369151
TIC120607386,0.4136144
TIC120956236,0.3270847
TIC121009628,0.2820421
TIC121092386,0.4215599
TIC121108244,0.3951054
TIC121134517,0.3351707
TIC121213501,0.4738341
TIC121460104,0.3783745
TIC121463130,0.5085862
TIC122645363,0.5339372
TIC122891349,0.3302671
TIC123014200,0.68456
TIC123038007,0.4226879
TIC123201494,0.2868434
TIC123337161,0.3681651
TIC123357952,0.4277815
TIC123416563,0.5807305
TIC123492200,0.4084753
TIC123625970,0.3171272
TIC124205037,0.3327345
TIC124369049,0.2917354
TIC124604724,0.1169202
TIC125298121,0.6129219
TIC125958765,0.6173582
TIC12632044,0.2016308
TIC126336928,0.6980385
TIC126637765,0.2734502
TIC129455317,0.3207265
TIC129781743,0.40249
TIC129810365,0.2923476
TIC13068361,0.3073681
TIC13070701,0.4140761
TIC131239334,0.5698003
TIC13135572,0.3983886
TIC133105082,0.4463651
TIC13345143,0.6723508
TIC134283998,0.6188381
TIC135244338,0.6149767
TIC136656542,0.652407
TIC137151074,0.3536262
TIC137152301,0.4919965
TIC137687487,0.5134829
TIC137905775,0.4031699
TIC138256097,0.4639323
TIC138256675,0.5689197
TIC138476641,0.4480622
TIC139148071,0.7007948
TIC139188326,0.5883808
TIC139207681,0.4936816
TIC139303531,0.5394192
TIC139367232,0.56328
TIC139378834,0.5147505
TIC139452314,0.3467611
TIC139468902,0.4547342
